;N;S;NC;ND;NH;NS;NNT;SC;SD;SH;SS;SNT
28665;9875.96542.KT.QT;6.3.J8764.AK8752;7.9;6.6;2.6;1.8;2.9;7.9;6.6;2.6;1.8;2.9
28666;.AKJ7654.KJ7632.;KJT2.9.84.KQT742;6.6;10.0;9.9;5.1;7.0;6.5;10.0;9.6;5.2;6.9
28667;KJ542.AT98.J.J94;.J762.KQ965.A875;7.6;7.0;8.5;4.9;6.7;7.5;6.9;8.4;4.9;6.6
28668;JT76.AQ875.T863.;94.94.A95.KJT732;5.2;5.2;5.8;4.4;4.6;5.2;5.4;5.7;4.4;4.5
28669;94.T53.AK9.KJT42;KT.AK96.J75.A975;10.7;8.1;9.8;6.0;8.9;11.0;8.1;10.2;6.3;10.9
28670;AT3.AKJ85.84.QJ4;KQ98542.T.97.963;4.7;3.8;6.8;8.8;5.1;4.7;3.7;6.7;8.8;5.1
28671;JT9864.92.AQ98.3;532.T64.K73.AQ54;3.1;6.5;3.1;8.1;4.8;3.1;6.6;3.1;8.1;4.8
28672;T97.T964.AT7.JT7;K82.KJ53.J8432.4;1.6;5.7;5.6;1.9;2.1;1.6;5.7;5.7;2.0;2.1
28673;952.AKJ64.K82.AQ;A764.32.AJ93.K62;8.3;11.0;10.7;10.3;10.9;8.3;11.0;10.7;10.3;10.7
28674;.QT986.A9652.AT2;K85.73.KQ73.K853;8.4;10.3;8.0;3.5;5.9;8.3;10.2;8.2;3.7;6.3
28675;T94.AT743.T8.KQ9;AJ6.Q8.AK63.T865;8.2;7.4;8.8;7.5;8.4;8.2;7.4;8.8;7.4;8.4
28676;AJT63.2.J953.K76;Q.AK85.K87642.J9;5.7;10.7;5.7;7.8;8.1;5.6;10.5;5.6;7.7;8.1
28677;94.9.QJ652.K8754;A87.T87642.T3.T6;3.8;4.2;3.6;1.6;1.6;3.8;4.2;3.6;1.6;1.6
28678;A9743.A54.K.AKQ4;82.T93.AQJ875.73;8.2;10.8;7.9;9.1;9.0;8.3;10.8;7.9;9.1;9.0
28679;JT4.762.QJ3.AKQ5;KQ6.AK983.T87.J8;8.5;7.5;8.6;7.9;8.6;8.5;7.5;8.6;7.9;8.6
28680;KQ.AT97.AJ6.Q976;A9632.KQ64.87.A5;9.4;7.9;11.5;10.8;10.8;9.3;7.9;11.4;10.5;10.6
28681;T54.AKQJ5.T2.JT4;Q976.42.AQ7.K987;7.8;5.4;8.0;7.8;7.9;8.1;5.6;8.3;7.8;8.4
28682;AQ74.AT97.K2.843;KJ3..AJ963.KQJ96;11.8;11.3;7.8;11.3;10.0;11.8;11.3;7.8;11.4;10.0
28683;Q82.K873.AJ.J876;AT953.A942.T86.9;4.5;4.4;8.4;8.3;6.3;4.5;4.0;8.3;8.5;5.8
28684;AT975.9642.QT.96;K432.J3.KJ73.T83;1.7;4.0;2.3;7.1;2.4;1.7;4.0;2.3;7.1;2.4
28685;J82.QJ7.AJ52.QT4;AT.8532.QT97.863;3.3;6.2;5.0;2.7;4.7;3.4;6.3;5.0;2.7;4.9
28686;K832.A9872.J75.4;T54.QJ53.QT4.A32;2.5;3.9;7.4;5.2;4.4;2.6;3.9;7.4;5.2;4.4
28687;JT.9875.Q76.A985;K43.32.KT9432.T7;3.0;7.6;2.6;2.0;3.6;3.0;7.6;2.6;2.0;3.3
28688;8532.AQT42.KQ65.;AJ.96.98.AT98532;7.9;6.2;7.7;6.2;5.7;7.8;6.1;7.5;6.2;5.7
28689;AKJ.KT83.K9762.J;T64.972.83.T8642;4.2;4.8;4.5;3.6;3.8;4.2;4.6;4.5;3.5;3.8
28690;K6.AKQ3.J96.A982;AJ872.974.T4.754;7.2;5.5;7.2;8.0;7.1;7.2;5.5;7.3;8.0;7.1
28691;KJT6.Q984.K86.K6;Q853.J2.QJ7.QT93;5.6;5.6;5.7;7.4;6.9;5.6;5.6;5.7;7.4;6.9
28692;A986.T852.AKT7.T;Q32.AKJ6.8.J9743;7.6;6.9;10.1;8.7;8.4;7.6;6.7;9.9;8.7;8.4
28693;KJ.AQ9752.6.QJ96;.K8643.QT954.874;5.8;4.6;9.3;1.3;5.7;5.9;4.6;9.4;1.3;5.7
28694;53.Q642.A8.A9872;JT.9853.Q542.K63;5.6;3.6;5.4;2.5;3.6;5.6;3.6;5.4;2.5;3.5
28695;K63.A54.QJ87.Q42;Q72.KQ9873.A54.K;4.6;8.3;9.5;6.5;8.3;4.6;8.6;9.7;6.7;8.3
28696;QT8654.A754.T84.;AK72.KT63.J9.KJ4;3.2;4.2;10.0;10.2;6.1;3.4;4.2;9.7;10.3;6.4
28697;QT94.T973.KT3.65;J8753.4.Q742.T42;0.4;2.5;0.4;5.7;0.5;0.4;2.4;0.4;5.7;0.5
28698;987.A32.865.KQJT;JT53.Q84.AQ4.643;5.3;3.7;4.1;4.9;5.3;5.3;3.9;4.2;5.2;5.6
28699;AQ.AT974.T7542.4;KT963.J653..Q752;4.3;4.6;10.8;7.5;4.2;4.5;4.5;10.8;7.5;4.2
28700;Q53.K542.Q42.642;J74.AQ73.K986.JT;3.1;5.6;6.6;3.9;4.7;3.1;5.6;6.6;3.9;4.7
28701;JT74.KQ64.T873.Q;963..AQ96.KT7643;6.3;7.6;3.8;5.5;4.5;6.5;7.7;3.7;5.5;4.5
28702;AT765.J976.QT8.2;J4.KQ85.92.AT854;4.9;3.4;8.0;6.6;4.9;4.9;3.5;8.0;6.5;5.0
28703;Q83.K7652.K32.A5;97.T43.AJ75.QT97;5.1;5.9;6.7;4.0;5.5;5.2;5.9;6.7;4.0;5.4
28704;AQ86.J8.AK8.QT87;73.T652.6.KJ9632;10.0;3.6;5.5;6.3;7.8;9.9;3.6;5.4;6.3;7.8
28705;T9652.T965.K65.9;QJ.AKQ7.J72.A643;3.9;5.3;8.2;7.3;5.5;3.9;5.3;8.2;7.3;5.5
28706;QJ86.87.AK97.AK5;5.KQ42.JT6.98642;9.6;8.4;7.1;6.6;7.2;9.5;8.3;7.2;6.6;7.4
28707;J865.A3.AT93.A96;KQ97.KQ5.J64.832;6.3;7.9;5.7;9.1;8.0;6.0;7.9;5.7;9.1;8.0
28708;JT63.Q95.643.QJ4;K.KT32.QT95.T965;4.6;4.4;4.6;3.0;4.5;4.6;4.4;4.5;3.0;4.4
28709;T9.AQ842.QJ96.95;8.KJ.T87542.8764;0.4;8.0;5.6;0.3;0.4;0.4;8.0;5.6;0.3;0.4
28710;87.6532.QJ.K6543;KJ4.AKQT7.K973.A;7.9;8.6;10.7;7.0;9.1;7.9;8.9;10.7;7.1;9.4
28711;98753.654.Q2.984;AQJ62.K72.K9765.;1.4;5.7;2.1;9.1;2.6;1.5;5.7;2.1;9.2;2.6
28712;AQ8.KQJ.6543.AJ6;KJ9642.T872.A82.;4.6;8.6;9.9;10.9;8.6;4.6;8.6;9.9;10.9;8.3
28713;AJ95.K.T92.AKQ92;Q87.AJ932.Q7.T85;9.4;6.3;7.7;8.7;7.6;9.3;6.2;7.6;8.7;7.6
28714;KJ.AK763.2.AK872;AQ954.842.AJ9.T3;10.0;7.2;11.2;10.7;10.4;10.0;7.3;11.2;10.8;10.5
28715;K862.Q75.94.K854;AJ93.6.A752.QJT3;8.6;3.9;3.3;8.1;4.8;8.5;3.8;3.3;8.1;4.6
28716;AK763.A9.JT98.A3;.QJ2.AKQ762.QT75;10.0;12.0;7.3;9.0;11.6;9.7;12.0;7.2;8.7;11.4
28717;AJ6.T7632.K2.T97;K9.AJ954.J93.854;4.1;4.4;7.7;4.2;4.8;4.0;4.4;7.6;4.2;4.8
28718;Q9.K2.AQJ85.AT52;876.98.7643.J876;6.3;6.8;1.9;1.9;2.7;6.0;6.7;1.7;1.7;2.5
28719;AKT4.T76.Q763.T8;73.J854.T98542.Q;1.5;6.6;3.2;2.7;1.7;1.5;6.6;3.2;2.4;1.7
28720;J652.Q3.AQ42.Q92;K.KT7654.KT875.J;3.0;9.6;8.8;3.9;5.4;3.0;9.6;8.8;3.9;5.4
28721;T87532.Q7.A4.KQT;J964.J54.J9873.A;4.0;6.2;4.5;7.7;5.5;4.0;6.1;4.5;7.7;5.4
28722;KQ4.QT8.AQT84.65;852.AJ96.J7652.K;3.9;9.9;8.0;4.9;5.4;3.9;9.9;8.0;4.9;5.4
28723;AQ8.AJ98.Q743.A7;KJT754.642.J96.4;3.4;7.4;7.4;9.3;8.1;3.4;7.5;7.3;9.2;8.1
28724;KQ2.T43.AKT97.83;JT.Q9865.85.6542;3.8;6.0;5.6;3.7;4.5;3.7;6.0;5.6;3.7;4.5
28725;AJ74.KJ54.85.A83;QT3.762.J72.Q954;5.8;3.8;5.4;5.7;4.6;5.7;3.5;5.4;5.7;4.5
28726;A4.J84.KJ632.972;KT2.AK753.T5.K63;6.1;7.7;8.4;5.5;7.3;6.3;8.1;8.6;5.5;7.5
28727;AJT32.J8.854.T85;74.QT74.AKQ9.AK9;7.6;8.5;8.3;8.3;8.7;7.5;8.5;8.2;8.4;8.8
28728;AJ8.QT84.QJ3.Q52;KT7532.75.8742.7;1.1;4.5;2.7;7.1;3.5;1.1;4.5;2.7;7.1;3.4
28729;T85.763.J632.K63;K72.AK954.A8.QT4;5.4;5.3;7.1;5.2;5.9;5.7;5.4;7.2;5.2;5.8
28730;AKT93.K872.6.K86;7642.AJ94.73.AQ7;8.4;5.7;11.5;11.6;7.2;8.4;5.7;11.4;11.6;7.2
28731;A6.J62.T93.KQ632;85.KT75.K864.AJ4;8.0;6.8;7.1;4.1;6.5;8.0;6.8;7.1;4.1;6.5
28732;AJT975.7.J532.84;Q6.AKQJ8654.964.;2.2;5.0;9.4;8.3;3.2;2.2;4.8;9.4;8.2;3.2
28733;K7.AKQ87.943.T85;T83.9432.72.AK92;7.5;4.1;8.8;3.7;5.1;7.5;4.1;8.8;3.7;5.1
28734;98653.62.KT984.3;J.AJ83.52.AQ9652;5.1;5.4;3.9;4.4;3.6;5.1;5.5;4.1;4.4;3.6
28735;KQ9865.4.A4.K943;2.AT962.J72.Q865;8.5;4.5;5.3;7.9;4.8;8.4;4.4;5.3;7.9;4.9
28736;KJ632.JT87.6.753;75.9532.T532.T92;0.3;0.2;1.9;2.0;0.3;0.3;0.2;1.9;2.0;0.3
28737;KT5.KT85.QT97.54;J873.AJ64.63.KQ9;4.5;5.9;7.6;6.8;6.2;4.5;5.9;7.6;6.8;6.3
28738;842.JT.97632.A86;KJT6.9743.Q5.K95;2.8;4.3;3.6;4.6;3.0;2.8;4.3;3.6;4.6;3.0
28739;J7.J8762.A432.73;T863.A4.KT97.J64;2.5;6.1;4.9;3.5;3.5;2.5;6.1;4.9;3.5;3.5
28740;QJ72.AQ752.92.J4;KT864.T94.QJ74.A;3.3;5.3;8.0;8.8;4.9;3.3;5.2;8.0;8.8;4.9
28741;T7.AQ53.AKT6.983;J52.J4.J542.A762;6.6;7.8;5.6;4.4;5.7;6.6;7.8;5.6;4.4;5.7
28742;AT62.A53.T943.A6;98.T9742.AQJ6.Q3;4.7;8.2;8.3;5.8;6.6;4.4;8.2;8.2;5.7;6.3
28743;T864.Q9.AT.JT832;AK5.T7653.72.AQ4;8.0;4.0;6.9;7.1;5.6;8.1;4.0;6.9;7.1;5.6
28744;A543.AQT93.5.Q65;QJT8.64.AJT862.J;4.6;8.6;8.4;9.4;6.8;4.6;8.7;8.1;9.3;6.8
28745;J3.Q986.JT9.KQ62;K62.AKJ73.Q62.J8;6.7;5.9;8.5;5.3;6.7;6.7;5.9;8.5;5.3;6.7
28746;JT75.J642.K32.Q4;AQ2.95.JT75.AK63;6.9;7.8;6.4;7.8;7.0;7.1;7.8;6.3;7.9;7.1
28747;AT875.A8.J642.82;K63.92.AKT8.KT94;7.1;9.3;5.0;9.3;8.0;7.1;9.2;5.1;9.4;8.0
28748;92.KT732.J42.A83;J83.A865.Q63.K52;4.1;4.6;7.1;3.8;5.6;4.1;4.6;7.1;3.8;5.6
28749;97632.9862.97.AQ;85.Q4.K8652.9543;2.3;3.8;2.1;3.1;2.3;2.3;3.8;2.2;3.1;2.3
28750;T6.AJ632.63.QJT8;Q954.5.AQ972.953;5.6;5.6;4.7;4.6;4.8;5.6;5.5;4.7;4.6;4.7
28751;K54.943.AQT6.K52;J86.T86.KJ98.943;2.7;5.2;2.8;3.0;4.1;2.7;5.1;2.7;2.9;4.0
28752;KJT854.J4.J4.AK5;A97.AQT76.KT2.Q3;8.3;8.0;10.3;11.2;11.2;8.1;8.0;10.2;11.3;11.4
28753;K.T6532.AQJT.Q98;QT542.AKJ84.43.J;5.0;7.3;10.1;7.4;8.3;5.0;7.4;10.1;7.5;8.3
28754;T83.KQ72.4.KQ843;754.8.Q8752.AT65;7.6;3.8;3.0;3.1;4.6;7.6;3.8;3.0;3.1;4.7
28755;43.J.Q98432.QJ84;Q975.9754.KJT.AK;4.7;8.7;2.4;3.1;3.3;4.7;8.7;2.4;3.1;3.3
28756;T954.J954.A9.A84;AQ6.A62.K85.9765;7.4;5.9;7.6;7.6;7.3;7.4;5.9;7.6;7.6;7.3
28757;9752.Q542.J6.642;AT8.AK8.AK873.Q5;5.3;7.9;7.6;7.2;6.6;5.3;7.9;7.6;7.4;6.6
28758;2.K542.KJ42.AJT2;QJT7.J8.T865.K65;7.0;8.3;5.6;5.8;6.1;6.9;8.2;5.6;5.8;6.1
28759;J2.543.86.AT9543;A43.A72.AT742.KQ;8.9;6.8;5.4;4.7;7.0;8.9;6.9;5.4;4.6;7.0
28760;32.AJT654.K87.43;Q8754.8.J3.T9752;3.2;2.0;4.3;3.6;2.0;3.2;2.0;4.3;3.6;2.0
28761;JT9.86.QT52.KT87;Q75.AQT75.3.QJ54;7.0;3.7;5.6;3.9;5.0;7.0;3.5;5.6;3.8;5.0
28762;T6.Q42.T8753.KJ2;J98532.J985.AQ.9;2.1;4.0;4.2;5.3;2.9;2.1;4.0;4.2;5.3;2.7
28763;Q9542.AK7.J6.QJ2;AKJ63.63.T9743.A;4.7;8.9;5.7;11.0;9.0;4.7;8.8;5.6;11.0;9.0
28764;A95.4.KQJ654.A62;Q42.K752.83.JT97;6.7;7.8;4.2;4.8;6.4;6.5;7.6;4.0;4.7;6.5
28765;984.K43.T87.Q973;J752.Q762.J942.4;1.3;2.2;2.0;1.9;1.3;1.3;2.2;2.2;1.8;1.3
28766;A862.94.53.AQJ72;KQ974.AT7.76.T84;9.6;3.5;3.5;9.8;7.2;9.7;3.5;3.5;9.8;7.2
28767;T73.T75.T2.AQT92;AQ6.3.9863.K8753;8.8;3.1;2.0;2.9;3.6;8.8;3.2;2.0;2.9;3.6
28768;K.KJT9876.JT.752;AT9654..864.KQ86;5.9;3.8;7.1;6.1;4.2;5.9;3.8;7.1;6.1;4.2
28769;932.J754.K2.J532;7.K62.965.AKQT86;8.7;2.0;5.4;1.7;4.2;8.7;2.0;5.5;1.6;4.2
28770;AQ83.82.KJ632.AJ;T.K97.AQ974.8432;6.5;10.6;5.2;5.1;8.0;6.5;10.6;5.3;5.2;8.0
28771;T87.J952.KT4.J53;AQJ9532.AT7..KQ7;5.3;3.5;7.1;10.1;7.9;5.0;3.4;7.2;10.1;6.8
28772;Q96.A.KQT93.AQJ5;AJT.T652.64.T982;11.0;9.9;6.5;7.6;8.2;11.0;9.9;6.4;7.6;8.2
28773;AQ54.QJT6.962.94;J87.A8732.QJT54.;2.3;8.3;9.1;7.5;4.0;2.3;8.3;9.1;7.5;4.0
28774;A975.K8.AQ54.QT8;KQ842.952.KJ8.76;5.2;9.0;4.9;9.5;7.9;4.9;8.8;4.7;9.4;7.2
28775;AKT8.93.AQT74.AT;J2.Q8642.53.QJ83;7.8;8.2;8.7;7.5;7.8;7.6;8.1;8.5;7.4;7.9
28776;J43.KQJ3.J83.JT2;KT76.T8752.K.KQ7;3.8;3.3;7.8;6.0;4.6;3.9;3.3;7.8;6.0;4.6
28777;KJ876532..AK62.2;9.KT862.9.AQJ653;7.7;5.8;6.2;9.7;6.7;7.7;5.9;6.2;9.7;6.7
28778;52.QJ7.8.QJT9743;A976.T985.K532.2;6.1;1.7;3.4;1.6;1.7;6.1;1.7;3.4;1.6;1.7
28779;KQ986543..Q32.K4;.KQ975.96.986532;5.0;1.9;2.9;5.8;2.0;4.8;1.8;2.9;5.7;2.0
28780;KQ9.AT6.9853.852;JT.K54.AJT762.94;3.9;8.7;4.5;4.5;5.7;3.9;8.7;4.6;4.5;5.8
28781;AT.Q85.AQT54.963;9843.AK97.8.AQ85;10.3;9.3;10.3;9.2;9.6;10.4;9.3;10.3;9.1;9.5
28782;K96.AQJT982.AJ.K;A743.5.963.AT974;8.9;7.9;11.2;10.0;9.8;8.8;7.7;11.2;10.0;9.8
28783;.J7642.A9754.983;QJT97.QT8.3.A764;6.0;4.3;6.4;5.0;3.9;6.0;4.3;6.4;5.0;3.9
28784;T.AQ9.742.A98543;94.KJ762.AKJT3.J;8.8;11.2;11.0;4.0;7.4;9.0;11.2;11.1;4.0;7.4
28785;98.87.T8763.JT83;J54.JT952.A4.AK4;4.6;4.6;4.6;2.4;3.3;4.8;4.6;4.6;2.4;3.3
28786;3.Q532.KQ62.AKQ8;KQJ954.AK6.7.763;10.1;7.8;9.6;10.3;10.6;10.1;7.6;9.6;10.3;10.4
28787;T863.Q.754.K9652;AQ2.762.AKQ3.QT3;9.2;7.8;4.4;7.5;6.2;9.2;8.0;4.4;7.8;6.2
28788;AQ8.AQT95.T752.3;6.76.AKQ9.KJ9742;10.0;11.2;10.4;6.6;9.2;10.0;11.2;10.3;6.5;8.8
28789;T.T863.KJ87632.8;K74.A952.5.Q9753;3.1;6.4;4.7;1.6;1.9;3.3;6.4;4.7;1.6;2.0
28790;AT6.A9.K32.T6432;J3.KJ72.JT985.K9;7.0;8.2;6.3;5.1;6.4;6.9;8.2;6.3;5.1;6.4
28791;AQJ5.7642.QJ73.T;KT.QT983.AK94.Q9;3.9;9.4;9.3;7.1;5.5;3.9;9.4;9.3;7.1;5.5
28792;754.J53.AK952.K6;KQT2.QT.QT8.J872;5.7;7.9;4.8;6.9;6.9;5.7;7.9;4.7;6.9;6.8
28793;AKQ8763.Q8542..8;2.KT73.AKJT7.J62;4.9;5.9;10.9;10.3;6.0;4.9;5.9;11.0;10.4;6.0
28794;KJ93.9.AK42.T864;A764.7.J8763.A52;7.0;9.5;4.0;9.4;6.5;7.0;9.5;4.0;9.3;6.5
28795;A9.J86.K.KT98743;KT4.QT9.QJT5.J52;8.4;5.3;5.7;4.5;7.1;8.4;5.3;5.7;4.6;7.1
28796;KJT8.T8764.J42.3;4.Q9.K9865.A9864;4.3;5.8;5.1;4.0;3.6;4.3;5.9;5.1;4.1;3.6
28797;JT.T2.Q98742.987;A5432.K85.K5.KT4;2.8;6.1;2.4;3.9;2.8;3.1;6.1;2.7;4.1;3.1
28798;T982.Q95.986.T54;Q4.AKJ64.AT42.AJ;4.1;6.8;7.9;5.1;7.1;4.2;6.8;8.0;5.1;7.1
28799;QT7.Q3.AK74.K853;K864.K9.532.JT94;7.3;6.2;3.9;6.7;5.6;7.3;6.4;3.9;6.7;5.7
28800;JT84.JT.T64.Q984;AQ73.9854.QJ32.3;2.2;4.1;2.7;5.6;2.7;2.2;4.1;2.6;5.6;2.6
28801;AQ54.JT9432.K3.A;KT932..QJ76.T742;6.2;7.4;7.4;10.9;6.0;6.2;7.4;7.4;10.9;6.0
28802;AQ864.9764.2.AQ9;7532.K.J63.86432;7.0;1.6;1.7;8.3;1.7;6.9;1.5;1.6;8.1;1.7
28803;AJ7.J82.AT7.T976;T84.T63.J6.AQJ82;7.4;4.0;4.5;4.9;6.3;7.3;4.0;4.4;4.8;6.1
28804;K974.AT86.KJ54.Q;J5.972.AT83.8765;3.4;7.5;6.0;5.0;5.0;3.4;7.6;6.0;4.9;5.0
28805;62.43.J65.QJT542;T97543.K86.Q9.93;4.5;1.2;0.6;3.1;0.6;4.5;1.2;0.6;3.1;0.6
28806;T94.Q9.J874.AQ62;A63.AKJT8763.K6.;4.2;5.5;10.6;5.9;10.0;4.2;5.4;10.6;5.9;10.0
28807;AQ732.J83.QJ4.A8;J6.A.T9653.KJ954;8.9;9.9;4.7;8.5;6.2;8.9;9.9;4.8;8.5;6.2
28808;A986.Q2.AT54.984;QJ754.753.Q72.A2;3.6;6.8;3.7;8.2;5.0;3.5;6.8;3.6;8.2;5.0
28809;Q65.Q52.K6.KQT53;A42.JT64.QT9.987;6.7;4.0;6.1;4.5;6.1;6.7;3.9;6.1;4.5;5.9
28810;K.T7642.A42.AT84;A93.AJ.KJ765.532;9.0;9.8;9.0;6.1;9.2;9.0;9.8;9.0;6.1;9.3
28811;54.K953.J98.AJ65;AKQ93.AT8.74.T32;8.2;6.1;8.0;8.5;7.1;8.2;6.1;8.0;8.6;7.1
28812;4.AQ5.KQT72.AQ82;K82.K843.98543.3;5.6;10.8;8.7;4.7;7.0;5.5;10.8;8.7;4.9;7.0
28813;86.T54.AKJ953.A4;K72.AJ76.Q4.QJ76;7.1;9.5;8.6;5.8;9.1;7.1;9.9;8.6;5.9;9.4
28814;K7.A83.T953.JT85;AQJ64.5.K86.K643;9.3;8.1;5.1;8.4;6.7;9.3;8.1;5.2;8.4;6.7
28815;65.52.K9853.J765;T832.8.QJ6.KT943;6.7;5.9;0.5;0.5;0.6;6.7;5.9;0.5;0.5;0.6
28816;AQJ6.J862.J5.AJ9;987.AQ.A874.QT42;8.9;7.7;8.3;9.0;8.8;8.9;7.8;8.2;9.0;8.7
28817;QJ83.AT54.K.AJ83;.62.J875432.QT97;7.8;8.3;5.0;3.7;5.0;7.5;8.2;5.0;3.7;4.8
28818;QJ.J6.KT93.JT952;AKT842.98.Q4.A84;8.3;6.5;4.2;8.5;6.5;8.3;6.5;4.2;8.5;6.5
28819;QJ.98763.AKJ2.95;9743.AT.T9853.64;2.2;7.6;5.5;3.4;4.3;2.2;7.6;5.5;3.4;4.3
28820;AKT9.K65.K65.KT8;864..AQT8732.J43;7.2;11.3;4.4;8.9;10.6;6.8;10.8;4.2;8.8;8.4
28821;AJ2.A64.J3.KT742;Q.9532.A865.J865;8.3;5.0;6.3;4.1;6.2;8.3;5.0;6.2;4.1;6.2
28822;K987.T8.7642.QT2;3.QJ5.AKJ9.AJ873;8.7;8.5;5.0;5.1;6.3;8.7;8.4;4.9;5.2;6.1
28823;J76.J73.74.AJT53;AKT84.AT6.AQT.64;9.2;6.4;7.8;10.1;9.4;9.2;6.5;8.0;10.2;9.5
28824;J92.J98654.T.QJ4;KQ3.K32.KQ972.A6;5.1;6.9;8.5;6.3;6.8;5.1;6.9;8.7;6.3;6.9
28825;AJ8642.K74.Q63.J;KQT97.T3.K7.K973;3.6;3.0;3.0;9.5;6.1;3.7;3.0;2.7;9.3;6.1
28826;6.AKQ85.84.QJ875;AJ93.J7.AKJ7.KT3;11.9;9.0;11.6;7.7;10.4;11.8;9.3;11.6;8.0;10.7
28827;873.K962.KJ.AT75;AQ5.AQ843.753.Q2;7.5;5.8;10.1;7.2;8.9;7.7;6.0;10.3;7.3;8.9
28828;873.9743.76.AQT6;AQJ9.AJ852.98.53;5.6;3.6;8.7;7.1;5.6;5.6;3.6;8.7;7.0;5.5
28829;AKQ2.63.KJ3.QT65;T8.AJ952.AT42.A8;9.7;10.7;10.6;10.0;10.7;9.7;10.7;10.6;10.0;10.7
28830;A5.AT92.KQT976.5;Q86.KJ3.A8542.42;4.9;11.0;10.3;5.1;7.2;4.9;11.0;10.5;5.6;7.2
28831;KQ5.A85.KJ742.93;JT32.KJT.QT863.4;3.4;9.3;5.2;7.3;5.1;3.6;9.3;5.2;7.2;5.1
28832;8532.5.T43.AT842;AK74.KT6.AJ5.QJ7;9.4;6.8;5.0;9.4;8.0;9.4;6.8;5.0;9.4;8.1
28833;T3.AT9742.K876.3;QJ6.J5.AQ94.K876;4.7;8.6;8.6;4.9;6.2;4.8;8.7;8.6;4.9;6.2
28834;J954.T943.J53.K8;KQ763.Q2.2.A7642;5.4;1.6;2.8;8.1;3.0;5.4;1.7;2.8;8.1;3.0
28835;AK93.J762.AQT.K2;J4.AT3.KJ54.A954;9.3;11.0;10.6;9.6;10.8;9.3;11.0;10.5;9.6;10.8
28836;6.A743.8.AT98765;JT982.KQJT.Q92.4;9.0;2.5;8.3;4.9;4.5;9.0;2.6;8.3;5.0;4.6
28837;AQT3.A2.9.KQ9842;J865.Q93.A652.A3;11.4;6.5;6.8;12.2;10.8;11.4;6.8;7.0;12.3;10.9
28838;82.AQ7.52.K98763;K764.JT.T83.QJ54;8.2;2.8;3.2;3.7;3.8;8.2;2.8;3.2;3.7;3.8
28839;KQ3.K97.QT32.QT7;A97542.Q.A764.86;4.4;8.1;3.9;8.7;7.7;4.2;8.0;3.8;8.7;7.6
28840;653.AK964.K8.932;QJ74.5.JT543.Q84;3.0;4.8;3.8;4.3;3.7;3.0;4.8;3.8;4.4;3.8
28841;K7.KT84.AJT543.J;5432.Q2.8762.Q52;1.8;8.2;4.2;2.5;2.3;1.8;8.2;4.2;2.2;2.3
28842;9753.32.Q984.KJ2;AJ4.KT965.AK6.Q5;6.2;8.3;7.5;8.1;7.8;6.2;8.3;7.7;8.1;8.0
28843;J853.AKJ9.6.K962;A74.QT5.K874.Q75;7.9;5.8;7.9;7.8;7.0;7.8;5.7;7.9;7.9;7.1
28844;AT4.KQ973.KJ5.Q7;8653.AT6.4.J9864;6.4;4.3;7.9;7.0;7.0;6.4;4.2;7.8;6.8;6.9
28845;K42.AT94.Q53.AQ2;95.J.AKJT.J98754;10.7;9.1;6.2;6.1;9.1;10.6;8.7;6.2;5.8;8.3
28846;75.A52.Q986.QJ92;AKQ3.873.K543.K5;7.5;8.7;6.7;7.0;7.9;7.5;8.7;6.7;7.0;7.9
28847;K9852.642.QJ3.97;AQ.J.AK4.AQT8654;11.1;7.7;5.9;8.8;7.4;11.1;7.7;5.9;8.8;7.4
28848;K862.853.J.QJ765;AQJ3.QJ62.T3.K93;7.8;2.5;5.6;7.5;4.0;7.8;2.5;5.7;7.5;4.0
28849;K875.53.K6.K7632;62.AKJT86.Q4.985;6.8;3.0;7.4;4.5;6.8;6.6;2.9;7.4;4.4;6.5
28850;KJ.AKJT5.T2.KQ53;76.9632.AQ954.AT;9.1;10.2;11.2;5.9;10.3;9.1;10.1;11.0;5.7;9.1
28851;A65.KJ83.K.AJT43;QJ3..T8632.KQ852;10.9;6.9;4.7;6.3;6.9;11.2;7.0;4.7;6.4;7.0
28852;AJ2.Q73.J85.A875;KQ643.42.KQ32.KJ;7.3;9.0;5.9;9.7;7.8;7.3;9.0;5.9;9.7;7.8
28853;KT96542.63.T73.4;Q.AT5.AKQ9.AQJT3;8.0;9.5;6.8;10.6;7.9;8.0;9.5;6.6;10.7;7.8
28854;J95.KJ63.7.J9873;872.T84.Q964.652;2.1;0.4;2.3;0.1;0.5;2.2;0.4;2.3;0.1;0.5
28855;KJ3.962.KT2.QJ93;4.AKQT87.Q8764.A;6.3;10.8;10.7;5.3;9.3;6.1;10.8;10.7;5.1;8.4
28856;94.K963.Q863.876;AT75.J8.AKT54.53;3.2;8.0;4.7;4.4;5.7;3.2;8.0;4.7;4.4;5.7
28857;KJ2.874.AKT963.4;A3.K9532.7.87652;5.7;8.4;7.6;5.6;6.0;5.7;8.3;8.2;5.4;6.0
28858;KQT85.AT2.987.62;AJ964.5.K.AJT987;10.4;3.0;3.0;11.0;6.9;10.4;3.0;3.0;11.0;6.9
28859;A.974.QT876.A862;95432.8.9542.Q43;4.0;6.9;1.7;3.5;2.0;4.0;6.9;1.7;3.5;2.0
28860;9.KQ63.JT43.JT76;AKQJ72.J72.7.K83;7.0;4.9;7.2;8.2;6.9;7.1;4.9;7.2;8.2;6.9
