;PBN;OPENING
112;9832.AT76.J85.A5;PASS
939;T432.J2.QT72.KT3;PASS
267;652.KT972.AK8.A2;1H
173;3.KQJ6.KQJ54.K43;1D
1155;8.A765.KQ62.KJ52;1D
469;KQJ94.A.AT43.KQT;1C
34;AJ82.98.A542.J32;PASS
312;853.QT542.T9.Q52;PASS
375;KJ98.Q984.Q63.J7;PASS
362;T852.KT96.K97.63;PASS
833;AT92.A98.AK4.QT4;1N
1153;AJ3.J.A2.AKT9653;1C
616;Q3.AT96.AJ752.76;PASS
889;KQT2.65.A854.854;PASS
1056;T32.K76.J8742.86;PASS
1140;AJ965.Q5.82.AQ86;1S
1188;J652.QJ532.A3.KJ;1H
39;KT5.T864.Q53.K52;PASS
683;AKJ9.KQ83.QJ8.A9;1C
51;3.AT62.A9873.J75;PASS
594;Q753.QJ.AQ84.632;PASS
904;A542.AK6.AJ942.J;1D
426;K86.Q4.T952.KJ93;PASS
36;KJ753.52.AQ.JT82;1S
33;KT.JT863.AK8.JT4;1H
240;AKT95.K2.982.QJ3;1S
859;432.87.KT632.K52;PASS
959;82.95.853.AKT952;3C
693;96.KT96.983.AK97;PASS
541;T82.AKJT985.8.A5;1H
187;95.QT9743.K654.3;PASS
400;J752.K954.J6.AQ6;PASS
972;QT87.AJ765.98.A5;1H
720;KQT9.97432..Q754;PASS
1182;QJ97.A985.JT4.72;PASS
449;QJ84.T4.983.AT74;PASS
640;AKJ2.JT6.K72.Q93;1C
722;A92.963.J72.K983;PASS
401;JT74.3.64.T76532;PASS
10;AQ2.A92.AQT.9754;1N
1173;T9432.KJT7.Q2.87;PASS
326;KT73.T3.92.AJ876;PASS
199;76.83.Q9754.KQ62;PASS
119;T4.Q9542.QT942.4;PASS
352;742.AK7.AJT7.T43;1C
832;AJ3.T4.AQ64.A853;1N
929;A.QJ32.AJ6.KJT52;1C
178;KT953.J7.7.AQT43;2S
637;T92.A74.KJ97.974;PASS
979;7632.986.74.6532;PASS
850;8742.J4.AK986.T8;PASS
595;K93.AKJ86.94.T84;PASS
562;J932.72.2.KJT642;PASS
226;A7.AKQ94.T85.T97;1H
363;KJT4.96432.K5.98;PASS
168;KQJ9.A96.A742.62;1N
65;T32.AJT62.84.QT6;PASS
813;Q643.T9.T75.AKJ6;PASS
147;AKJ95.32.KQ7.A85;1S
1084;AQ3.KJ943.K7.963;1H
156;KQ32.Q854.K76.J3;PASS
538;A973.A.KT3.JT875;2C
586;QJ63.J63.QJ8.965;PASS
383;A853.954.Q53.J42;PASS
195;.KJ964.A942.AQ85;1H
643;K63.AJ54.Q5.KQ86;1N
1057;654.KQ52.AJ7.872;PASS
186;J5.K97.K6.KQ9762;2C
48;87.A92.T8643.Q62;PASS
885;T872.A754.QJ53.9;PASS
878;T85.QT9732.T86.T;PASS
774;A.84.A875.AQT865;1C
415;AQ.AT8543.J64.T9;1H
941;AKQ63.AQ973.Q9.4;1C
639;T4.J964.QJ83.QJ9;PASS
230;K9642.T92.K3.T95;PASS
581;T5.K9753.T6.Q952;PASS
783;AQ87.AJT97.4.J54;1H
354;AJ83.Q87.8652.J7;PASS
781;AQ86.AK873.72.32;1H
811;AT3.J753.J8.KJ72;PASS
949;J632.432.J8653.4;PASS
1097;KJ96.J53.Q6.A752;PASS
269;J94.4.AJT98.T864;PASS
61;JT9.8.98.KQJ7432;3C
242;A863.QT5.874.QT6;PASS
1051;QJT843.82.QJ.A94;1S
191;Q87.763.J9864.J2;PASS
875;AT75.JT.KJ8.Q985;1C
141;T97.QT43.JT86.Q7;PASS
1122;AJT97.53.A983.QT;1S
531;K985.AKQ92.K6.JT;1H
890;96.KT732.842.AQ8;PASS
171;KQJ63.AJT95.764.;1S
110;JT9853.8.T9643.8;3S
954;K52.9643.QT92.QJ;PASS
90;92.Q86.K7643.953;PASS
891;AK3.7.AK53.KT862;1C
1183;Q8.AJT982.98.A64;1H
956;Q3.AK64.KQ9753.8;1D
438;A32.AKJ92.762.64;1H
83;5.AQ94.AK94.JT62;1D
44;KJ85.76.K5.QJT42;PASS
399;A97.T65.T765.J86;PASS
12;T.AQ9652.3.JT842;2D
1071;A32.Q752.T9632.T;PASS
346;J64.9.AQJT72.AQT;1D
411;K2.A854.AKQ.J982;1N
50;98763.K5.K8.J542;PASS
906;K.KT4.KQ85.KQT75;1C
204;J9.AQT73.J973.KJ;1H
121;JT95.Q9874.Q.J86;PASS
948;AK.K85.Q9853.642;1D
293;T9.J9842.JT63.K2;PASS
1186;T765.QJ9532.98.4;PASS
1029;K9.T753.Q9432.42;PASS
1094;K7.KT98.AKT8.KJ7;1N
408;A92.Q854.7.KQT95;2C
536;Q96.KT.987.KJT76;PASS
428;972.Q96.QT96.QJ6;PASS
227;KJ2.J86.K32.QJ87;PASS
1171;JT8432.KT4.8.943;2D
910;T75.A743.KQ2.KJ3;1C
475;A6.QJ6543.A6.K53;1H
59;KT53.A76.QJ94.A3;1C
897;AQ54.K94.A6.AT32;1N
57;K6432.83.764.Q74;PASS
56;AQT54.T82.JT2.64;PASS
700;KT4.QJ4.AKJ2.K53;1N
454;8752..K975.86432;PASS
49;T7.K4.KQT9753.K8;1D
1093;K3.74.Q986.AJ743;PASS
750;K973.J8.65.KJ873;PASS
476;J92.J5.K84.AT953;PASS
460;T54.7643.J7.Q982;PASS
900;QJ9765.3.T8.A953;2D
1014;AT962.A53.T2.QT6;PASS
520;QJT.A72.KQ76.T75;1C
951;97.92.J6432.KT94;PASS
743;Q752.A9865.873.7;PASS
791;KQT2.T732.K5.AK4;1N
128;JT97.AK543.AQ4.Q;1H
671;4.J8763.T532.653;PASS
990;A9752.J3.A983.T7;PASS
58;QT43.AK864.QJ83.;1H
494;J54.AKQT6.Q.J432;1H
578;J72.K5.K873.K862;PASS
644;AJT985.A.T9752.9;1S
237;74.J5.KT6.AJT972;2C
999;.83.QT972.J97542;PASS
1112;T862.KT65.T.AJ92;PASS
1047;4.KQJ86.AT97.K83;1H
27;.Q52.JT4.KQJ9752;3C
930;AKJ.K7.JT653.T96;1D
505;3.QT32.9852.KQ92;PASS
1090;92.J76.7542.AKQ7;PASS
192;K.JT43.KQ542.K97;1D
977;7.KT75.Q7.AQT974;2C
145;73.AQT9.KJ3.AQ42;1N
839;AQJT63.K8.9732.4;1S
1133;A6.AKT87.A64.863;1H
118;5.73.432.KQ86543;3C
634;75.6.KQ63.AT8742;PASS
717;A7.987643.QT75.A;1H
1022;8.J7.QJ6.AKJT954;2C
991;J3.KJ643.AJ73.Q7;1H
546;AT82.K63.AJT.965;1C
422;J875.AT86.6.AKJ3;1C
457;AJT.Q4.QT876.J76;PASS
243;A982.J8643.9.AQ3;PASS
559;Q7643.AJ54..8543;PASS
129;A53.J82.T84.AJ98;PASS
425;K.K654.8654.A764;PASS
466;Q96.86.K642.J973;PASS
443;T764.AQ4.T732.A9;PASS
390;AQ5.987.954.KJ84;PASS
879;652.96.Q4.KQT432;PASS
650;6.AJT4.AT43.Q432;PASS
189;AT6.T752.Q73.Q32;PASS
407;AQJ742.A42.K5.97;1S
754;Q9753.AJ63.A.862;PASS
209;754.KQ76.93.T984;PASS
857;8432.T4.AJ962.A4;PASS
789;K82.Q5.KJT63.AQ7;1N
134;AJ86.AJ3.J62.AJ4;1N
1195;652.K965.AK74.Q7;1C
526;AKQJ753.KJ72.J.Q;1S
694;AKQ.2.KT3.AQ9765;1C
1065;AT863.QJ4.AQ83.9;1S
986;KQ95.J9863.6.975;PASS
245;Q9862.J54.3.K532;PASS
485;K4..T987532.AK97;1D
515;K762.93.K42.J973;PASS
544;J4.AT8.QT94.QT73;PASS
310;Q852.AQ.983.Q965;PASS
367;QJ9652.J54.Q7.87;PASS
1162;AJ8.A8.JT63.QJ52;1C
205;A65.AT83.9.QT852;PASS
804;T865.93.KQ2.AQJ3;1C
1141;KQJT7.QT.2.AT852;1S
397;QT62.T.J9543.942;PASS
1159;KQ5.97.K82.KQ973;1C
597;QJT.875.AK5.K754;1C
1;765.QT85.AQJT4.T;PASS
1027;J.Q864.KJ5.QJ752;PASS
22;3.QJ.QT854.AQJ65;1D
273;AQT.984.9865.K63;PASS
314;83..QT862.AKJ872;2N
994;K963.J865.9.9763;PASS
47;Q8764.53.A743.65;PASS
821;AKJ4.T9.Q63.KJ76;1C
219;Q96.T974.QT76.86;PASS
1165;T73.542.9763.A52;PASS
7;Q987.QT3..AQJT74;2C
344;AJ72.KJT.3.AJ973;2C
868;K.KQ5.AKQ872.T65;1D
755;K98652..Q7.AKJT9;1S
419;Q65.QJ975.A4.T32;PASS
213;96.A986.J764.A87;PASS
816;T7.Q65.K9742.T84;PASS
139;AT754.K8432.JT.8;PASS
739;Q53.Q65.9742.K74;PASS
967;T3.T63.AK854.985;PASS
590;KQJ64.KT5.KQ6.83;1S
244;Q75.AQJ652.Q873.;1H
254;T963.97.AJ7.A642;PASS
251;9652.QJ8.QJ.AT42;PASS
976;AT853.AQJ54.A8.9;1S
1115;.KQJ2.Q6532.KQT9;1D
1043;AJ65.A84.Q987.A8;1N
1148;65.AQ.JT65.K9763;PASS
337;AJ2.932.T642.AT8;PASS
1175;QT85.AT7.K75.865;PASS
1005;K65.A9.KJ84.8762;PASS
1192;AT53.T6.T972.JT5;PASS
433;AT2.AJ4.KQ4.9752;1C
473;AJ972..KT65.AQ75;1S
486;AT3.JT876.52.Q32;PASS
167;KJT6.AJT93.J95.5;PASS
556;A93.AJT742.32.A6;1H
62;K764.T943.J842.T;PASS
154;972.T843.85.JT85;PASS
26;AJ82.82.AKQ9.876;1C
853;865.954.AQ975.T9;PASS
642;JT5.2.T932.AJ652;PASS
893;5.AQJ52.T87.J965;PASS
113;AT62.K962.2.Q842;PASS
127;KJ.A96432.AQ8.63;1H
925;KT96.AT54.6.KJ65;1C
702;Q86.A964.J842.54;PASS
1066;Q83.3.AQJ984.Q32;1D
1130;QT.K8652.92.T874;PASS
125;AKJ63.3.A832.KQ3;1C
299;AJT65.A4.K86.A73;1S
440;AQJ83.Q7.96.T986;PASS
323;KT8.9863.AT32.T7;PASS
1154;K96.QJ97.QJT6.KT;1C
328;AQ95.AK5.96.AQT8;1C
706;A32.Q94.4.KT9653;PASS
947;T4.AK854.A764.JT;1H
1124;AJ.AKJ754.75.754;1H
942;K5.852.T986.KQ94;PASS
535;AT5.JT9542.2.J87;PASS
665;972.J3.AQ952.Q84;PASS
519;AK74.AKQ.Q65.KJ7;1C
146;AK.QT962.AK6.J54;1N
840;KJT97.Q963.A65.9;PASS
258;AK93.K54.KQ76.K7;1C
334;AQJ874.AJT32.7.Q;1S
123;AT75.AT93.T8.K43;1C
737;A3.9752.T6.AK853;2C
325;AKT953.AK98.2.KT;1S
318;T64.T852.T7.AT87;PASS
1197;T9874.Q72.KQ.Q85;PASS
1210;Q2.KJT4.Q5.AQJT7;1C
255;AQJ6.9.AKQJ6.AK5;1C
30;K964.Q98.Q753.A2;PASS
668;T2.Q95.T9732.J32;PASS
239;T62.K93.8632.K96;PASS
246;843.J863.KJ5.J86;PASS
131;.KQ.KT8754.AQ974;1D
292;A62.AQT765.2.K95;1H
998;A87432.AQ.42.532;1S
688;A952.JT.T43.T754;PASS
672;T85.J973.JT975.4;PASS
809;K87542.A2.KT86.9;1S
101;AT742.72.QT86.Q5;PASS
945;T.A984.AT84.KJ64;1D
1123;QT7.AQ9.QT9.T875;PASS
516;AJ3.AJT76.753.K3;1H
719;K972.98.AKJ.A842;1N
470;4.J52.A85.KJT976;PASS
8;K9763.T4.QJ843.Q;2S
